Data name,Unit,Data format,Start address,Number of registers,Read/Write,Remark
Equipment fault code,,ULong,100,2,R,"32-bit fault code. Each bit corresponds to a fault code. See the fault code table for details. Fault code 1 corresponds to bit1, fault code 2 corresponds to bit2, and so on."
Reserved,,,102,2,,Reserved address
Obtain the warning code for unmasked processing,,,104,2,,The 32-bit warning code is described in the warning code description
Reserved,,,106,2,,Reserved address
Obtain the warning code after shield processing,,ULong,108,2,R/W,The 32-bit warning code is described in the warning code description
Reserved,,,110,61,,Reserved address
Device type,,UInt,171,1,R,
Device name,,ASC,172,12,R/W,"Device name, written or read in ASCII"
Invalid data,,UInt,184,1,R,"Agreement number, return 1 for this agreement"
Reserved,,,185,1,,Reserved address
Device serial number,,ASC,186,12,R,
Reserved,,,198,2,,Reserved address
Invalid data,,UInt,200,1,,Internal command
Working mode,,UInt,201,1,R,0: Power on mode | 1: Standby mode | 2: Mains mode | 3: Off-grid mode | 4: Bypass mode | 5: Charging mode | 6: Failure Mode
Mains voltage effective value,0.1v,Int,202,1,R,
Mains frequency,0.01Hz,Int,203,1,R,
Average mains power,1w,Int,204,1,R,
Effective value of inverter voltage,0.1v,Int,205,1,R,
Effective value of inverter current,0.1A,Int,206,1,R,
Inverter frequency,0.01Hz,Int,207,1,R,
Inverter power average,1w,Int,208,1,R,Positive indicates inverter output and negative indicates inverter input
Inverter charging power,1w,Int,209,1,R,
Effective value of output voltage,0.1v,Int,210,1,R,
Effective value of output current,0.1A,Int,211,1,R,
Output frequency,0.01Hz,Int,212,1,R,
Output active power,1w,Int,213,1,R,
Output apparent power,1VA,Int,214,1,R,
Average battery voltage,0.1v,Int,215,1,R,
Average battery current,0.1A,Int,216,1,R,
Average battery power,1w,Int,217,1,R,
Invalid data,,,218,1,,Internal command
Average PV voltage,0.1v,Int,219,1,R,
Average PV current,0.1A,Int,220,1,R,
Reserved,,,221,2,,Reserved address
Average PV power,1w,Int,223,1,R,
Average PV charging power,1w,Int,224,1,R,
Percent of load,1%,Int,225,1,R,
DCDC temperature,1℃,Int,226,1,R,
Inverter temperature,1℃,Int,227,1,R,
Reserved,,,228,1,,Reserved address
Battery percentage,1%,UInt,229,1,R,
Invalid data,,,230,1,,Internal command
Power flow status,,UInt,231,1,R,See the description of power flow flag bit for details.
Battery current filter average,0.1A,Int,232,1,R,A positive number indicates charging and a negative number indicates discharging.
Average value of inverter charging current,0.1A,Int,233,1,R,
Average PV charging current,0.1A,Int,234,1,R,
Invalid data,,,235,1,,Internal command
Invalid data,,,236,1,,Internal command
Reserved,,,237,63,,Reserved address
Output mode,,Uint,300,1,R/W,0: single machine; | 1: parallel; | 2: Three-phase combination-P1 | 3: Three-phase combination-P2 | 4: Three-phase combination-P3
Output priority,,Uint,301,1,R/W,0: Main-PV-Battery (UTI) | 1: PV-mains-battery (SOL) [priority inverter] | 2: PV-battery-mains (SBU) | 3: PV-Mains-Battery (SUB) [Priority Mains]
Input voltage range,,Uint,302,1,R/W,0：APL； | 1：UPS；
