Address,AddressHex,RegisterIndex,Data name,Unit,Data format,Read/Write,Remark,Source Start address,Source Number of registers
100,0x0064,0,Equipment fault code,,ULong,R,"32-bit fault code. Each bit corresponds to a fault code. See the fault code table for details. Fault code 1 corresponds to bit1, fault code 2 corresponds to bit2, and so on.",100,2.0
101,0x0065,1,Equipment fault code,,ULong,R,"32-bit fault code. Each bit corresponds to a fault code. See the fault code table for details. Fault code 1 corresponds to bit1, fault code 2 corresponds to bit2, and so on.",100,2.0
102,0x0066,0,Reserved,,,,Reserved address,102,2.0
103,0x0067,1,Reserved,,,,Reserved address,102,2.0
104,0x0068,0,Obtain the warning code for unmasked processing,,,,The 32-bit warning code is described in the warning code description,104,2.0
105,0x0069,1,Obtain the warning code for unmasked processing,,,,The 32-bit warning code is described in the warning code description,104,2.0
106,0x006A,0,Reserved,,,,Reserved address,106,2.0
107,0x006B,1,Reserved,,,,Reserved address,106,2.0
108,0x006C,0,Obtain the warning code after shield processing,,ULong,R/W,The 32-bit warning code is described in the warning code description,108,2.0
109,0x006D,1,Obtain the warning code after shield processing,,ULong,R/W,The 32-bit warning code is described in the warning code description,108,2.0
110,0x006E,0,Reserved,,,,Reserved address,110,61.0
111,0x006F,1,Reserved,,,,Reserved address,110,61.0
112,0x0070,2,Reserved,,,,Reserved address,110,61.0
113,0x0071,3,Reserved,,,,Reserved address,110,61.0
114,0x0072,4,Reserved,,,,Reserved address,110,61.0
115,0x0073,5,Reserved,,,,Reserved address,110,61.0
116,0x0074,6,Reserved,,,,Reserved address,110,61.0
117,0x0075,7,Reserved,,,,Reserved address,110,61.0
118,0x0076,8,Reserved,,,,Reserved address,110,61.0
119,0x0077,9,Reserved,,,,Reserved address,110,61.0
120,0x0078,10,Reserved,,,,Reserved address,110,61.0
121,0x0079,11,Reserved,,,,Reserved address,110,61.0
122,0x007A,12,Reserved,,,,Reserved address,110,61.0
123,0x007B,13,Reserved,,,,Reserved address,110,61.0
124,0x007C,14,Reserved,,,,Reserved address,110,61.0
125,0x007D,15,Reserved,,,,Reserved address,110,61.0
126,0x007E,16,Reserved,,,,Reserved address,110,61.0
127,0x007F,17,Reserved,,,,Reserved address,110,61.0
128,0x0080,18,Reserved,,,,Reserved address,110,61.0
129,0x0081,19,Reserved,,,,Reserved address,110,61.0
130,0x0082,20,Reserved,,,,Reserved address,110,61.0
131,0x0083,21,Reserved,,,,Reserved address,110,61.0
132,0x0084,22,Reserved,,,,Reserved address,110,61.0
133,0x0085,23,Reserved,,,,Reserved address,110,61.0
134,0x0086,24,Reserved,,,,Reserved address,110,61.0
135,0x0087,25,Reserved,,,,Reserved address,110,61.0
136,0x0088,26,Reserved,,,,Reserved address,110,61.0
137,0x0089,27,Reserved,,,,Reserved address,110,61.0
138,0x008A,28,Reserved,,,,Reserved address,110,61.0
139,0x008B,29,Reserved,,,,Reserved address,110,61.0
140,0x008C,30,Reserved,,,,Reserved address,110,61.0
141,0x008D,31,Reserved,,,,Reserved address,110,61.0
142,0x008E,32,Reserved,,,,Reserved address,110,61.0
143,0x008F,33,Reserved,,,,Reserved address,110,61.0
144,0x0090,34,Reserved,,,,Reserved address,110,61.0
145,0x0091,35,Reserved,,,,Reserved address,110,61.0
146,0x0092,36,Reserved,,,,Reserved address,110,61.0
147,0x0093,37,Reserved,,,,Reserved address,110,61.0
148,0x0094,38,Reserved,,,,Reserved address,110,61.0
149,0x0095,39,Reserved,,,,Reserved address,110,61.0
150,0x0096,40,Reserved,,,,Reserved address,110,61.0
151,0x0097,41,Reserved,,,,Reserved address,110,61.0
152,0x0098,42,Reserved,,,,Reserved address,110,61.0
153,0x0099,43,Reserved,,,,Reserved address,110,61.0
154,0x009A,44,Reserved,,,,Reserved address,110,61.0
155,0x009B,45,Reserved,,,,Reserved address,110,61.0
156,0x009C,46,Reserved,,,,Reserved address,110,61.0
